文學院,系所,中文系,文學院學士班,英文系,法文系,哲研所,藝術所,歷史所,學習所
,,,,,,,,,
管理學院,系所,企管系,資管系,財金系,經濟系,會計所,人資所,工管所,產經所
,介紹,系上除了有以建立人際關係為目標的活動如制服日、卡K、舞會、傳情等，今年更新增了強調未來發展的學術性活動，目標幫助學生探索職涯領域以及培養職場基礎能力。我們將竭力帶給大家充實的生活，還請多多支持呦！,"哈囉~學弟妹們好
這邊是資管系，相信各位一定迫不及待大學生活，中秋月圓人團圓的系烤，展現自我才藝的系卡，甚至是向心儀的人表達心意的傳情，把酒言歡到天亮的之夜，我們系上有各種大大小小的活動，期待你各位的參加，同時去認識許多形形色色的人，這也是我們資管最大的特色，『和人相處』，在這過程中可以看見每個人的特色及瘋狂的一面，展現最真誠的情感。

當遇到任何問題時，都可以向我們伸出援手，我們最喜歡多管閒事，無論是課業、社團、感情，以及經驗的傳承，學長姐們很樂意為你解答，讓你們在資管系有家的感覺。","財金系的課程主要分為「財務管理」以及「金融商品」兩區塊，學生們可於課堂中了解如何以正確角度來衡量公司的財務狀況，並使公司價值最大化，除此之外也能學習如何合理為股票、期貨及選擇權定價、探討市場與投資者的互動以及知曉如何衡量和規避風險。財金系學生畢業後的出路也非常廣闊，如金融機構、銀行業、證券業及會計事務所等都是財金系學生們常見的就職行業。
財金系除了秉持嚴謹、紮實的教學研究風氣之外，也是一個熱情洋溢、感情融洽的大家庭。系上年度盛事如迎新宿營、財金之夜、卡拉OK大賽、系烤、財金營及各式系上競賽等更可以感受到財金系動靜皆宜、活潑開朗的一面！","經濟系學會最初成立目的在於給予學生自治的空間 透過學生自治，和定期與教授、系主任開會 經濟系學會也作為系上同學和教授間溝通的橋梁，將學生的意見反應給系上知道 而後，系學會也開始承辦各項活動，目的在於促進系上同學間和師生間的感情

最初系學會成立時間已不可考，不便之處請見諒 經濟系學會最初由系代、副系代以及總務組成 而後為了舉辦系上活動，陸續先成立了活動部、公關部來承辦各項活動 大型活動的舉辦不易，宣傳部與後勤部的成立是為了減輕其他部門的負擔，負責各項小型活動 至今，經濟系學會的運作狀況十分良好，歷年來舉辦和新增的活動也都頗受系上師生的喜愛和支持。",為培育學生成為新經濟商業環境下之全方位會計專才，本所設立目標與課程設計希望培育學生具備扎實的會計專業基礎，並兼備金融科技、大數據分析及ERP管理系統之專業知識與技能、以及永續價值的管理思維。除會計課程專業之需要外，加強學生外語能力以因應企業國際化與跨界行動力之趨勢要求。,推動國內人力資源管理學術之研究與發展，亦積極培育人力資源管理專業人才。同時加強與企業之合作，強調組織管理與人力資源管理在學術與實務方面之結合，以協助國內企業組織之再造與創新，使台灣地區的人力資源得以充分地發揮其功能，提升台灣的企業在國際上的競爭力。,本所於民國八十三學年度成立，隸屬於管理學院之獨立所，本所成立宗旨為：「致力於發展管理知識，並結合先進製造與資訊科技，以培育具備供應鏈管理及跨領域整合能力之工業管理人才，促進產業升級與永續發展。」,透過基礎研究、建教合作、教學與推廣教育等方式來訓練相關人才與提供諮詢建議，協助個人與投資大眾、企業與政府做成正確決策，創造多贏目標。
,連結,https://www.facebook.com/NCUBASA/,,https://www.instagram.com/ncu_finance/?hl=zh-tw,https://www.facebook.com/groups/1067728114155591/?ref=share,,,,
,,,,,,,,,
資電院,系所,資電學院學士班,電機系,資工系,通訊系,網學所,,,
,介紹,資訊電機學院學士班將迎來創系第五屆學生，學弟妹們依循著先人的智慧在前行，不管是選課，還是活動，學長姐們都會好好照顧新生的。我們系上有四個領域，分別為電機、資工、通訊、網路，依據個人喜好可修習各科系的課程，選課方面是相當豐富多元。最後祝福各位學弟妹們進來學士班後能夠成功地抓住自己的夢想，莫過緊張，相信各位能前途一片光明。,"☆系學會
公關部：
  想認識更多人，豐富精采的大學生活嗎？大家一起趴踢嗨起來~
活動部：
  歡迎大家來活動部，yaya大家都好人
學術部：
  舉辦益智類活動！大胃王！喜歡動腦和交朋友的都過來~
體育部：
  舉辦各種體育活動！各種球類、大逃殺！歡迎體驗！

☆系隊
系籃:
  有沒有經驗都可以來~有很多校內外比賽，大家都有上場的機會！ 
系排：
  系排，將青春奉獻給排球的熱血團體！歡迎大家！

☆IEEE中央大學學生分會
  業界分享「企業演講」；學界新知「實驗室參訪」；學員交流「學術分享會」及「科學知識競賽」；更提供機會到各科技公司「企業參訪」。

☆迎新
  電機英文聯合迎新，活動豐富，回憶可貴，青春萬歲！",中央大學資工系學會是由資訊工程學系來組成的學生自治組織。由來自系上各年級同學所組成的團體，領導及規劃所有屬於系上同學的活動。讓每一位同學在電腦、課業之外，能藉由系學會主辦之多類型活動，凝聚向心力，及展現多方面才能，共同爭取系上之榮譽，散發資工新尖兵的活力。總而言之，就是系上同學溝通的橋樑，可以把本系的資源盡量的給新生來做使用，並且讓新加入的新生有良好的管道可以在遇到困難時尋求幫助。,我們系在學業發展主要和通訊系統、訊號處理、通訊網路相關。系上有許多活動，如系烤、尋寶、卡K、電競比賽、耶誕晚會等；每年也會籌辦迎新宿營給學弟妹，以及高中生暑期營隊 - 中央通訊營。而且系上的系學會與系隊也都輕鬆愉快。歡迎來到通訊系~,本所前身為陳德懷教授所主持的「學習科技實驗室」分支出來，該實驗室首先在1994年成為「國科會學習科技重點實驗室」，是台灣最早、也是唯一進行「學習科技」研究的重點實驗室。後來獲得教育部補助第一梯次「大學學術追求卓越發展計畫」，進而分支出來。,,,
,連結,https://www.facebook.com/groups/982114232475577,https://www.facebook.com/groups/352016390456657/?ref=sharehttps://www.facebook.com/groups/352016390456657/?ref=share&exp=9594,https://www.facebook.com/groups/522618466313326,,,,,
,,,,,,,,,
地科院,系所,地科學院學士班,地科系,大氣系,太空系,應地所,水海所,,
,遙測科技碩士學位學程,我們地科聯合系學會從以前到現在，都是傳承著讓系上同學更活潑的精神，舉辦許多系上活動聯繫著系上各位同學們的感情，不論是電競大賽時激烈的競爭，或是運動會大家同心協力拿下總錦標，都展現出我們對於各項活動的熱忱，時不時也會舉辦聯誼、系烤肉等等吃喝玩樂的活動。當然，上大學不是只有這些玩樂，我們也會舉辦許多研究是巡禮，讓系上的大家更了解地科院內各個教授、研究室在做的研究內容，讓大家在玩樂之餘，也不會對未來迷惘，歡迎大家加入地科聯合系學會這個大家庭。,,嗨！大家好，我們是大氣太空聯合系學會，我們每年都會為系上同學提供各式精彩活動的參與機會，像是電競大賽、企業參訪、聖誕晚會、攝影大賽、系出遊、工作坊......等，此外系上的營隊活動也相當興盛，有為國小學童舉辦的天空之城一日營、與地科聯合為高中生舉辦的地科營、為大一新生舉辦的迎新活動，歡迎各位新生加入我們，為大學生活增添精彩的一頁。,,本所教學與研究強調地質災害評估、地質環境評估及地質資源評估。研究領域包含水文地質、山崩與土石流災害分析、工程地質、資源地質、裂隙岩層地下水文、水文地質參數推估、地下環境模擬及高效能數值計算等等。,本所強調跨領域的研究導向，並力求與國際接軌；所探討的課題如：海氣交互作用與衛星遙測之應用，海嘯模擬與地震學之結合，水資源管理與旱澇預測之整合等等，都是當今世界矚目的研究重點，因此也多有國際合作之機會。,,
,連結,https://www.facebook.com/NCUESSA/?ref=pages_you_manage,,https://www.facebook.com/NCUATMxSSE?mibextid=ZbWKwL,,,,,
,,,,,,,,,
客院,系所,客社系,法政所,,,,,,
,介紹,"本系設立於2013年，「客家心．新客家」是本系的發展主軸，強調「用心」關懷客家事務，並運用創新視野呈現客家文化新面容，用「客家心」一同創造「新客家」，以厚植客家文化永續發展的能量。

本系擁有語言、文學、社會、文化、政治、經濟、政策、法律等學術領域之師資，開設各類跨領域課程，提供理論實務兼具的教學與研究。也重視與海外客家社團及國際客家研究、人文社會科學研究社群的接軌，透過各類研究計畫、學術會議、客籍企業家獎助等，增加國際互動與交流，提升學生掌握時勢脈動能力並開拓國際視野。

本系系學會旨在增進會員情感、拓展與外系交流、謀求全體會員福利，推展客家社會人文精神。系上亦有系隊（如壘球），誠邀同學一同參與。",為中央大學在台復校之後，第一個專業的法政研究所，也是北台灣唯一強調「法律」與「政府」兩個領域結合的研究所。本所將提供整合的平台，發展獨特的視野與解決問題的向度，分析公部門為核心所延伸出來的各種公共政策與法律議題，進而瞭解政府形塑公共政策的各種因素對於法律的形成與執行產生何種影響，並將各種訊息反饋政府部門。,,,,,,
,連結,http://hakkadepartment.ncu.edu.tw/web/about/about.jsp?cp_id=CP1664873602955,,,,,,,
,,,,,,,,,
生醫理工學院,系所,生科系,認知所,生醫系,,,,,
,介紹,"早安您好 祝您有美好的一天
歡迎剛加入中央生科的大一同學們
關於生科 我們以後會辦一期迎新為大家講解
希望大家通通都參加！我們還會抽直屬ㄛ！
欸不是啦還是要介紹一下我們科系
我們科系是中央三類驕傲 無人能敵（如果只有三類
不管是學長姊還是教授與行政們都是很幽默友善的
（是上課的部分辣，考試還是滿硬ㄉ）
但我相信能進來的同學們應該都有能力應付呀
如果你是因為數學、物理都搞不太懂的同學
告訴你們還是有微積分跟普通物理哦！
微積分上課的地方就是一個大型認親現場
你會看到一堆老屁股、熟悉的面孔坐在你附近
大家可以小聲的打招呼就好 留點面子啊哈哈哈
我們系上也是有非常多的活動等待大家參加
期待大家互相揪一揪一起來比較熱鬧有趣
邊緣人可能會失去得到很多有料資訊的機會ㄛ^_^
希望大家的大學生活也能充滿像高中一樣的熱情參與、舉辦各式各樣的活動，也能對自己的功課負責～
有什麼問題都可以問學長姊哦！！",本所為台灣第一所以研究大腦機制與人類行為關係的研究所，至今已建立情緒與犯罪、視覺認知、腦與行為、人類記憶等等的實驗室。同時也積極發展跨國、跨領域合作研究， 拓展研究精度與廣度。,"本系學會成立之目的，乃扮演學校、系上之間的溝通橋樑，並凝聚系上同學之向心力。系學會分為活動部、文宣部、體材部及財務部，各部的部員都可以發揮自己的創意舉辦活動、製作文宣品、系烤......等等。
歡迎各位生醫系的小大一們加入系學會這個大家庭，如果需要更多相關的資訊，可以點擊連結獲得新生的相關資訊喔! 期待與各位相見!",,,,,
,連結,https://instagram.com/ncu_ls?igshid=NTc4MTIwNjQ2YQ==,,https://www.facebook.com/groups/1108733963404423,,,,,
,,,,,,,,,
太空及遙測中心,系所,遙測學程,,,,,,,
,介紹,國立中央大學遙測科技碩士學位學程設立於民國97年，為一跨系、所、院專業領域之太空及遙測學位學程。學程比照一般系所，對外招收新生入學，修業完成符合畢業條件，由本校授予碩士學位。且遙測科技學位學程是國內第一個專為遙測科技設計的碩士學位學程。,,,,,,,
,連結,,,,,,,,
